Product_ID,Product_Name,Category,Sub_Type,Target_Segment,Currency,Annual_Fee,Interest_Rate_APR_pct,Yield_Return_pct,Credit_Limit_or_Loan_Amount,Min_Balance_Requirement,Rewards_Program,Digital_Only,Launch_Year,Key_Characteristics,Key_Benefits
UBSP001,UBS Basic Debit Card,Card,Debit,Retail,CHF,46.8,,,,,,Yes,2008,"Linked directly to current account, no credit line; Contactless payments, Apple Pay / Google Pay / Samsung Pay support; Free ATM withdrawals in Switzerland","Full control of spending, no debt risk; Instant access to funds via app"
UBSP002,UBS Classic Credit Card,Card,Credit,Retail,CHF,95.56,12.85,,3600.0,,Travel Miles,No,2019,"Credit limit up to CHF 3,600; APR 12.85% on revolving balances; Rewards: Travel Miles",Builds purchasing flexibility and short-term liquidity; Earn rewards on everyday spending
UBSP003,UBS Gold Credit Card,Card,Credit,Affluent,CHF,92.86,14.17,,13000.0,,Lounge Access + Points,No,2017,"Credit limit up to CHF 13,000; APR 14.17% on revolving balances; Rewards: Lounge Access + Points; Airport lounge access and travel insurance included",Builds purchasing flexibility and short-term liquidity; Earn rewards on everyday spending; Elevated travel experience with lounge access and concierge services
UBSP004,UBS Platinum Credit Card,Card,Credit,Affluent,USD,211.38,15.03,,11100.0,,Lounge Access + Points,No,2010,"Credit limit up to USD 11,100; APR 15.03% on revolving balances; Rewards: Lounge Access + Points; Airport lounge access and travel insurance included",Builds purchasing flexibility and short-term liquidity; Earn rewards on everyday spending; Elevated travel experience with lounge access and concierge services
UBSP005,UBS World Elite Credit Card,Card,Credit,HNW,USD,266.9,15.5,,12400.0,,Points Program,No,2014,"Credit limit up to USD 12,400; APR 15.5% on revolving balances; Rewards: Points Program; Airport lounge access and travel insurance included",Builds purchasing flexibility and short-term liquidity; Earn rewards on everyday spending; Elevated travel experience with lounge access and concierge services
UBSP006,UBS Metal Card,Card,Debit,Affluent,CHF,98.19,,,,,,No,2014,"Linked directly to current account, no credit line; Contactless payments, Apple Pay / Google Pay / Samsung Pay support; Free worldwide ATM access at partner banks","Full control of spending, no debt risk; Instant access to funds via app"
UBSP007,UBS Business Debit Card,Card,Debit,Business,CHF,34.62,,,,,,No,2021,"Linked directly to current account, no credit line; Contactless payments, Apple Pay / Google Pay / Samsung Pay support; Free worldwide ATM access at partner banks","Full control of spending, no debt risk; Instant access to funds via app; Simplifies expense tracking for employees"
UBSP008,UBS Business Credit Card,Card,Credit,Business,USD,90.07,13.9,,8500.0,,Cashback 1%,Yes,2012,"Credit limit up to USD 8,500; APR 13.9% on revolving balances; Rewards: Cashback 1%",Builds purchasing flexibility and short-term liquidity; Earn rewards on everyday spending
UBSP009,UBS Prepaid Travel Card,Card,Prepaid,Retail,EUR,8.3,,,,,,No,2005,"Reloadable, no credit check required; Fixed FX rate locked at load, ideal for travel budgeting; No linked bank account needed","Predictable travel budgeting, avoids overspending; Protects main account from fraud exposure abroad"
UBSP010,UBS Student Card,Card,Debit,Retail,CHF,18.84,,,,,,No,2005,"Linked directly to current account, no credit line; Contactless payments, Apple Pay / Google Pay / Samsung Pay support; Free ATM withdrawals in Switzerland","Full control of spending, no debt risk; Instant access to funds via app"
UBSP011,UBS Personal Account,Account,Current Account,Retail,CHF,14.12,,,,2300.0,,No,2006,"Minimum balance CHF 2,300; Free e-banking and mobile app access; Unlimited domestic transfers",Simplifies day-to-day banking and bill payments
UBSP012,UBS Savings Account,Account,Savings,Retail,CHF,16.52,,1.72,,2300.0,,No,2010,"Interest yield 1.72% p.a., variable; Free deposits and withdrawals, no lock-in period; FDIC/Swiss deposit insurance protection up to CHF 100,000",Grows idle cash while keeping it fully accessible
UBSP013,UBS Premium Savings Account,Account,Savings,Affluent,CHF,36.28,,1.01,,3100.0,,No,2023,"Interest yield 1.01% p.a., variable; Free deposits and withdrawals, no lock-in period; FDIC/Swiss deposit insurance protection up to CHF 100,000",Grows idle cash while keeping it fully accessible
