Product Name,Category,Product Type,Key Characteristics,Price / Cost,Source URL
UBS Platinum Credit Card,Cards,Personal Credit Card,"Ultimate travel insurance (incl. cancellations, luggage, accidents) worth ~CHF 600/year; 6 KeyClub points per CHF 1,000 spent; up to 30% off selected hotels in Switzerland (worth up to CHF 285); exclusive luxury hotel benefits via suitespot (worth up to CHF 500/booking); unlimited access to 1,800+ airport lounges via Priority Pass (worth ~CHF 750/year); available in CHF, EUR or USD; up to 3 additional/family cards included; 24/7 Platinum Assistance Center incl. concierge service",From CHF 34/month,https://www.ubs.com/ch/en/services/accounts-and-cards/cards.html
UBS Gold Credit Card,Cards,Personal Credit Card,"Premium travel and flight accident insurance worth ~CHF 200/year; 4 KeyClub points per CHF 1,000 spent; up to 30% off selected hotels in Switzerland (worth up to CHF 285); exclusive luxury hotel benefits via suitespot (worth up to CHF 500/booking); marked 'Most popular'",From CHF 12/month,https://www.ubs.com/ch/en/services/accounts-and-cards/cards.html
UBS Classic Credit Card,Cards,Personal Credit Card,"Standard travel and flight accident insurance worth ~CHF 50/year; 2 KeyClub points per CHF 1,000 spent; entry-level everyday card",From CHF 4/month,https://www.ubs.com/ch/en/services/accounts-and-cards/cards.html
UBS Debit Card,Cards,Personal Debit Card,"Linked directly to a UBS account; free cash withdrawals at UBS Bancomats; contactless payments online and in-store, in Switzerland and abroad; supports Apple Pay, Google Pay, Samsung Pay",See price brochure,https://www.ubs.com/ch/en/services/accounts-and-cards/cards/debit-card.html
UBS Prepaid Card,Cards,Personal Prepaid Card,"Spend only pre-loaded credit for full budget control; maximum credit balance CHF 10,000; simple top-up via UBS E-Banking or Mobile Banking App, available within seconds; no credit check required",See price brochure,https://ubs.com/ch/en/services/guide/accounts-and-cards/articles/which-card-type-are-you.html
UBS key4 Credit/Prepaid Cards,Cards,Personal Credit/Prepaid Card (multi-currency),"Favorable foreign-currency conditions: Mastercard exchange rate + 0.5% only, no extra processing surcharge for CHF payments abroad or in foreign online shops; top-up via Mobile Banking App ('Top up card')",See price brochure,https://www.ubs.com/ch/en/help/key4/prepaidcard.html
UBS Other / Special Cards,Cards,Personal Specialty Cards,"Includes foreign-currency cards, charity/cause-linked cards, and cards with exclusive additional services (details on dedicated page, not fully retrieved)",Varies,https://www.ubs.com/ch/en/services/accounts-and-cards/cards/other-cards.html
UBS Corporate Credit Cards,Cards,Corporate Credit Card,"For small, medium and large businesses; flexible solutions for expense management, travel and day-to-day spending; Visa and Mastercard variants",See price brochure,https://www.ubs.com/ch/en/services/accounts-and-cards/corporate-cards/visa.html
UBS Business Prepaid Card,Cards,Corporate Prepaid Card,"Designed for start-ups and small businesses; full expense control; easy liquidity planning; no credit check required; card released once company is registered in commercial register",See price brochure,https://www.ubs.com/ch/en/services/accounts-and-cards/corporate-cards/prepaidcard.html
UBS Business Debit Card,Cards,Corporate Debit Card,"Contactless payments online and in-store in Switzerland and abroad; worldwide cash withdrawal",See price brochure,https://www.ubs.com/ch/en/services/accounts-and-cards/corporate-cards/business-debitcard.html
UBS Transact Intermediaries,Investment Products,Financial Intermediary Service Tier,"Execution-focused service tier for Financial Intermediaries/External Asset Managers; availability depends on country of domicile",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
UBS Transact Intermediaries Premium,Investment Products,Financial Intermediary Service Tier,"Premium version of the Transact tier for Financial Intermediaries; enhanced service level; availability depends on country of domicile",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
UBS Advice Intermediaries,Investment Products,Financial Intermediary Service Tier,"Advisory-focused service tier for Financial Intermediaries/External Asset Managers; availability depends on country of domicile",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
UBS Advice Intermediaries Premium,Investment Products,Financial Intermediary Service Tier,"Premium version of the Advice tier for Financial Intermediaries; enhanced advisory service level; availability depends on country of domicile",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Wealth Management CIO Research,Investment Products,Research,"Investment research and insights produced by UBS's Chief Investment Office; covers market views and investment themes",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Investment Bank Research,Investment Products,Research,"Research produced by UBS's Investment Bank division, covering markets, sectors and securities",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Equities,Investment Products,Asset Class,"Access to global equity markets as part of UBS's investment product range for intermediaries and wealth clients",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
